comuna|fraccion|radio|manzana|nombre
11|21|1|1|NULL
11|22|4|1|NULL
12|1|4|1|NULL
12|2|4|1|NULL
12|3|1|1|NULL
12|4|4|1|NULL
12|5|4|1|NULL
12|6|1|1|NULL
12|7|1|1|NULL
12|9|1|1|NULL
12|10|1|1|NULL
12|11|2|1|NULL
12|12|1|1|NULL
12|13|7|1|NULL
12|14|1|1|NULL
12|16|1|1|NULL
12|17|1|1|NULL
12|18|1|1|NULL
12|19|3|1|NULL
12|20|4|1|NULL
12|22|1|1|NULL
13|1|1|1|NULL
13|2|1|1|NULL
13|3|2|1|NULL
13|4|1|1|NULL
13|5|1|1|NULL
13|6|2|1|NULL
13|7|1|1|NULL
13|8|1|1|NULL
13|9|3|1|NULL
13|11|3|1|NULL
13|12|1|1|NULL
13|13|1|1|NULL
13|14|6|1|NULL
13|15|1|1|NULL
13|16|1|1|NULL
13|17|1|1|NULL
13|18|1|1|NULL
13|19|1|1|NULL
13|20|1|1|NULL
13|21|1|1|NULL
13|22|1|1|NULL
13|24|1|1|NULL
13|25|1|1|NULL
13|26|1|1|NULL
13|27|1|1|NULL
13|28|1|1|NULL
13|29|1|1|NULL
14|1|1|1|NULL
14|2|1|1|NULL
14|3|1|1|NULL
14|4|1|1|NULL
14|5|1|1|NULL
14|6|2|1|NULL
14|8|1|1|NULL
14|9|1|1|NULL
14|10|2|1|NULL
14|11|1|1|NULL
14|12|1|1|NULL
14|13|2|1|NULL
14|14|7|1|NULL
14|15|1|1|NULL
14|17|1|1|NULL
14|18|1|1|NULL
14|19|1|1|NULL
14|20|1|1|NULL
14|21|1|1|NULL
14|22|1|1|NULL
14|23|1|1|NULL
14|24|1|1|NULL
14|25|1|1|NULL
14|26|1|1|NULL
14|27|3|1|NULL
14|28|3|1|NULL
14|29|1|1|NULL
14|30|1|1|NULL
14|31|1|1|NULL
15|1|1|1|NULL
15|2|1|1|NULL
15|3|1|1|NULL
15|4|1|1|NULL
15|5|1|1|NULL
15|6|1|1|NULL
15|7|1|1|NULL
15|10|1|1|NULL
15|13|10|1|NULL
15|14|11|1|NULL
15|15|6|1|NULL
15|16|1|1|NULL
15|17|4|1|NULL
15|19|1|1|NULL
15|20|1|1|NULL
15|21|1|1|NULL
4|27|1|1|NULL
4|26|3|1|NULL
8|18|1|1|NULL
8|15|11|1|NULL
3|1|12|1|NULL
4|21|13|1|NULL
6|5|13|1|NULL
12|8|12|1|NULL
12|15|14|1|NULL
12|21|11|1|NULL
14|7|10|1|NULL
15|9|10|1|NULL
15|11|14|1|NULL
1|2|21|1|NULL
4|25|7|1|NULL
1|1|1|2|NULL
1|3|1|2|NULL
1|4|2|2|NULL
1|5|1|2|NULL
1|6|1|2|NULL
1|7|2|2|NULL
1|8|2|2|NULL
1|9|3|2|NULL
1|10|3|2|NULL
1|11|2|2|NULL
1|12|2|2|NULL
1|13|1|2|NULL
1|14|1|2|NULL
1|15|1|2|NULL
1|16|9|2|NULL
1|17|1|2|NULL
1|18|5|2|NULL
1|19|2|2|NULL
1|20|2|2|NULL
1|21|2|2|NULL
1|22|1|2|NULL
1|23|3|2|NULL
1|24|2|2|NULL
1|25|2|2|NULL
1|26|2|2|NULL
1|27|2|2|NULL
1|28|1|2|NULL
1|29|1|2|NULL
2|3|2|2|NULL
2|4|3|2|NULL
2|5|7|2|NULL
2|6|1|2|NULL
2|7|2|2|NULL
2|8|4|2|NULL
2|9|2|2|NULL
2|10|4|2|NULL
2|11|3|2|NULL
2|12|3|2|NULL
2|13|3|2|NULL
2|14|1|2|NULL
2|15|2|2|NULL
2|16|2|2|NULL
2|17|2|2|NULL
2|18|5|2|NULL
2|19|2|2|NULL
2|20|2|2|NULL
2|21|2|2|NULL
2|22|4|2|NULL
